estimator,mean,median,rmse,std,max,p95,x_bias_mean,x_rmse,x_p95_abs,y_bias_mean,y_rmse,y_p95_abs,z_bias_mean,z_rmse,z_p95_abs
WLS (UWB only),0.1916058320610687,0.1417835,0.26006402502999143,0.1758422652122792,1.333713,0.5551359,,,,,,,,,
TC (UWB+IMU),0.1642467,0.13587100000000002,0.20260012326326288,0.11861632048499612,0.710535,0.4240722499999999,,,,,,,,,
WLS per-axis,,,,,,,0.002339561068702292,0.09935226456685622,0.22196864999999996,-0.04435992442748092,0.08514105267276602,0.18337649999999994,0.0183702145038168,0.22475192834322064,0.4864403999999997
TC per-axis,,,,,,,0.0002706702290076282,0.08345013479814763,0.19990644999999999,-0.03602618396946564,0.06743884540416276,0.14235264999999997,-0.005689599236641211,0.17185718312364232,0.35714580000000007
