timestamp,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,accel_norm,gyro_norm
0.029731999,0.024338859,-0.000436730,0.999383608,-0.122888036,0.115388833,-0.045341711,0.238682674,-0.004282863,9.800605261,-0.002144801,0.002013915,-0.000791362,9.803512189,0.003046683
0.030723999,0.024176885,-0.000638220,0.999145658,-0.086123265,0.108727790,-0.104828812,0.237094252,-0.006258799,9.798271769,-0.001503135,0.001897658,-0.001829608,9.801141898,0.003034466
0.031713999,0.024046207,-0.000767732,0.998915293,-0.076544896,0.094671473,-0.140192479,0.235812731,-0.007528879,9.796012653,-0.001335960,0.001652329,-0.002446820,9.798853414,0.003240665
0.032712999,0.023922207,-0.000735351,0.998762913,-0.084920265,0.085203156,-0.154350728,0.234596715,-0.007211332,9.794518318,-0.001482138,0.001487076,-0.002693928,9.797330080,0.003415462
0.033740999,0.023786969,-0.000500794,0.998688227,-0.086501695,0.068475790,-0.152651653,0.233270480,-0.004911109,9.793785897,-0.001509739,0.001195128,-0.002664274,9.796564777,0.003287248
0.034687999,0.023646615,-0.000087778,0.998627133,-0.053477693,0.017477041,-0.135020286,0.231894077,-0.000860805,9.793186772,-0.000933362,0.000305032,-0.002356549,9.795931949,0.002552945
0.035678999,0.023533835,0.000385092,0.998522918,0.007365834,-0.052228794,-0.104359694,0.230788079,0.003776458,9.792164773,0.000128558,-0.000911564,-0.001821420,9.794884805,0.002040845
0.036672999,0.023463436,0.000805466,0.998383591,0.056585755,-0.084484428,-0.072948895,0.230097701,0.007898924,9.790798443,0.000987608,-0.001474531,-0.001273198,9.793505067,0.002184181
0.037661000,0.023426140,0.001052686,0.998264976,0.060034346,-0.052950289,-0.046965271,0.229731958,0.010323327,9.789635227,0.001047797,-0.000924157,-0.000819699,9.792335841,0.001619830
0.038697000,0.023385712,0.001111823,0.998205321,0.017810378,0.006953198,-0.017182838,0.229335491,0.010903258,9.789050208,0.000310850,0.000121356,-0.000299897,9.791742318,0.000448657
0.039642999,0.023316353,0.001042516,0.998198973,-0.047531426,0.047229961,0.023050535,0.228655309,0.010223586,9.788987954,-0.000829580,0.000824318,0.000402308,9.791663441,0.001236752
0.040634999,0.023206683,0.000919700,0.998199395,-0.109369874,0.073237561,0.072262309,0.227579816,0.009019171,9.788992095,-0.001908864,0.001278237,0.001261215,9.791641341,0.002620747
0.041625000,0.023079385,0.000776431,0.998182368,-0.135549158,0.112769276,0.119624510,0.226331453,0.007614184,9.788825121,-0.002365779,0.001968195,0.002087842,9.791444284,0.003718842
0.042616999,0.022965448,0.000576144,0.998162609,-0.105572090,0.157288954,0.137627855,0.225214115,0.005650041,9.788631350,-0.001842581,0.002745210,0.002402059,9.791223469,0.004086707
0.043652999,0.022904950,0.000323257,0.998193019,-0.028167265,0.170705721,0.106897734,0.224620826,0.003170064,9.788929572,-0.000491612,0.002979377,0.001865717,9.791506867,0.003549545
0.044598999,0.022912783,0.000084448,0.998341925,0.069542468,0.135377660,0.038160823,0.224697642,0.000828154,9.790389838,0.001213745,0.002362786,0.000666032,9.792968033,0.002738528
0.045589999,0.022985371,-0.000035277,0.998607886,0.162023962,0.085410945,-0.045031458,0.225409493,-0.000345949,9.792998027,0.002827852,0.001490702,-0.000785947,9.795591862,0.003291907
0.046580999,0.023096146,-0.000014052,0.998936950,0.220790491,0.062805936,-0.125613153,0.226495821,-0.000137804,9.796225041,0.003853521,0.001096170,-0.002192363,9.798843066,0.004567020
0.047572999,0.023218753,0.000118969,0.999266554,0.215527967,0.063460320,-0.187225759,0.227698181,0.001166683,9.799457350,0.003761673,0.001107592,-0.003267706,9.802102437,0.005104394
0.048608999,0.023362748,0.000296500,0.999596564,0.148773953,0.047276571,-0.202798977,0.229110296,0.002907670,9.802693641,0.002596595,0.000825132,-0.003539510,9.805371110,0.004466686
0.049553999,0.023548887,0.000454058,0.999944237,0.072542593,-0.013621298,-0.159067854,0.230935694,0.004452788,9.806103156,0.001266107,-0.000237736,-0.002776258,9.808823081,0.003060581
0.050548999,0.023782227,0.000534946,1.000293599,0.047951840,-0.104982443,-0.080161370,0.233223980,0.005246027,9.809529221,0.000836917,-0.001832289,-0.001399080,9.812302711,0.002452578
0.051625000,0.024050694,0.000515557,1.000600909,0.078637198,-0.194467187,-0.006962609,0.235856739,0.005055890,9.812542904,0.001372478,-0.003394093,-0.000121520,9.815378353,0.003663104
0.052529999,0.024355893,0.000444067,1.000852197,0.111136101,-0.252438426,0.038659234,0.238849721,0.004354813,9.815007201,0.001939691,-0.004405882,0.000674731,9.817913959,0.004861014
0.053563999,0.024695333,0.000403335,1.001051897,0.107557707,-0.250425726,0.067931250,0.242178483,0.003955368,9.816965582,0.001877236,-0.004370753,0.001185624,9.819953121,0.004902367
0.054509999,0.025043147,0.000443810,1.001225120,0.067186750,-0.177048638,0.103470393,0.245589373,0.004352285,9.818664325,0.001172630,-0.003090082,0.001805899,9.821736211,0.003766290
0.055502000,0.025345569,0.000583002,1.001374533,0.002091976,-0.059588462,0.143980831,0.248555121,0.005717298,9.820129567,0.000036512,-0.001040015,0.002512940,9.823276289,0.002719895
0.056491999,0.025547420,0.000825819,1.001456464,-0.077228829,0.052246410,0.148488626,0.250534603,0.008098523,9.820933035,-0.001347897,0.000911872,0.002591615,9.824131455,0.003060197
0.057480999,0.025635633,0.001175754,1.001451821,-0.157356307,0.129415482,0.092223167,0.251399682,0.011530206,9.820887502,-0.002746386,0.002258726,0.001609598,9.824111464,0.003903240
0.058519000,0.025599713,0.001620450,1.001386636,-0.206200853,0.180927008,0.016451174,0.251047423,0.015891183,9.820248254,-0.003598884,0.003157772,0.000287127,9.823469504,0.004796450
0.059466000,0.025445372,0.002132824,1.001275301,-0.196858972,0.221577227,-0.021144431,0.249533855,0.020915859,9.819156430,-0.003435837,0.003867252,-0.000369040,9.822348885,0.005186213
0.060456999,0.025225829,0.002593712,1.001107796,-0.132467508,0.249384627,-0.007686055,0.247380879,0.025435622,9.817513770,-0.002311994,0.004352583,-0.000134147,9.820662956,0.004930344
0.061447999,0.025011907,0.002940863,1.000883904,-0.044436976,0.265744567,0.042476170,0.245283013,0.028840011,9.815318138,-0.000775572,0.004638118,0.000741349,9.818424805,0.004760593
0.062444999,0.024874059,0.003156379,1.000646470,0.024897201,0.267824322,0.109880492,0.243931194,0.030953501,9.812989708,0.000434538,0.004674416,0.001917776,9.816069863,0.005071179
0.063474999,0.024837631,0.003284179,1.000430020,0.049716953,0.225893542,0.145170137,0.243573953,0.032206793,9.810867054,0.000867725,0.003942586,0.002533697,9.813943036,0.004766188
0.064421999,0.024895421,0.003350270,1.000249116,0.028354406,0.119373277,0.096208937,0.244140676,0.032854928,9.809092992,0.000494878,0.002083457,0.001679163,9.812185762,0.002721265
0.065413000,0.025004757,0.003354382,1.000106307,-0.020226173,-0.013335302,-0.013309822,0.245212899,0.032895251,9.807692513,-0.000353013,-0.000232745,-0.000232300,9.810812601,0.000482444
0.066403999,0.025096064,0.003286751,1.000001826,-0.067597151,-0.106278665,-0.092983074,0.246108313,0.032232017,9.806667908,-0.001179793,-0.001854913,-0.001622861,9.809808544,0.002732451
0.067398999,0.025142178,0.003166829,0.999916876,-0.085922368,-0.137173474,-0.084147155,0.246560539,0.031055983,9.805834835,-0.001499628,-0.002394129,-0.001468645,9.808983300,0.003183968
0.068436999,0.025157652,0.003050001,0.999831869,-0.058424402,-0.129035458,-0.008070850,0.246712284,0.029910289,9.805001195,-0.001019698,-0.002252094,-0.000140863,9.808150183,0.002476197
0.069377000,0.025143462,0.002985824,0.999749780,0.009061142,-0.108833618,0.075774305,0.246573128,0.029280933,9.804196176,0.000158147,-0.001899505,0.001322511,9.807340023,0.002319949
0.070367999,0.025101800,0.002975550,0.999684152,0.086575814,-0.083610781,0.131074592,0.246164564,0.029180182,9.803552593,0.001511033,-0.001459283,0.002287683,9.806686082,0.003105837
0.071358999,0.025073264,0.002984177,0.999643269,0.129378408,-0.049310200,0.150869101,0.245884720,0.029264775,9.803151662,0.002258079,-0.000860625,0.002633163,9.806278511,0.003573953
0.072514999,0.025107672,0.002967498,0.999617509,0.110607333,-0.016874459,0.138286173,0.246222154,0.029101210,9.802899041,0.001930462,-0.000294515,0.002413549,9.806033951,0.003104616
0.073386999,0.025200183,0.002881381,0.999571736,0.039676391,-0.002603793,0.095207535,0.247129374,0.028256696,9.802450168,0.000692484,-0.000045445,0.001661685,9.805605573,0.001800776
0.074332999,0.025303047,0.002697303,0.999470534,-0.043818735,-0.005531584,0.031001613,0.248138125,0.026451509,9.801457708,-0.000764781,-0.000096544,0.000541080,9.804633875,0.000941796
0.075324000,0.025386499,0.002431435,0.999306716,-0.101191983,-0.024824513,-0.037378557,0.248956507,0.023844237,9.799851208,-0.001766133,-0.000433269,-0.000652379,9.803041956,0.001931980
0.076319999,0.025469368,0.002136223,0.999086031,-0.132315591,-0.068315588,-0.095193662,0.249769181,0.020949194,9.797687025,-0.002309343,-0.001192332,-0.001661443,9.800892539,0.003084657
