estimator,mean,median,rmse,std,max,p95,x_bias_mean,x_rmse,x_p95_abs,y_bias_mean,y_rmse,y_p95_abs,z_bias_mean,z_rmse,z_p95_abs
WLS (UWB only),0.14905500062150404,0.129325,0.17538615640300978,0.09242786726709881,1.041653,0.3315011999999998,,,,,,,,,
TC (UWB+IMU),0.13062628962088255,0.122773,0.14456677712760985,0.06193807802107949,0.375011,0.25414,,,,,,,,,
WLS per-axis,,,,,,,0.006730009322560593,0.04935167039311891,0.08674999999999994,0.02622977315102548,0.05265003669532688,0.09043279999999994,-0.09215112740832815,0.15985211412989628,0.31728979999999984
TC per-axis,,,,,,,0.004750960223741453,0.06187858203941672,0.12678519999999996,0.029899765071472965,0.0532860290900458,0.09772719999999993,-0.05189814605344934,0.1192945733447655,0.24026399999999995
