estimator,mean,median,rmse,std,max,p95,x_bias_mean,x_rmse,x_p95_abs,y_bias_mean,y_rmse,y_p95_abs,z_bias_mean,z_rmse,z_p95_abs
WLS (UWB only),0.24043301896333752,0.1609625,0.3401343622096994,0.2405895836231784,2.04531,0.7698270499999998,,,,,,,,,
TC (UWB+IMU),0.18015198293299622,0.1451935,0.2206689818382653,0.12743650415342578,1.301456,0.44464044999999996,,,,,,,,,
WLS per-axis,,,,,,,-0.02956408533501896,0.10640625495374455,0.22250504999999993,-0.06669804235145385,0.12048819051975607,0.29908259999999975,0.06957735145385589,0.2997527354829215,0.6683768999999996
TC per-axis,,,,,,,-0.0266521409608091,0.08025339015042626,0.15243149999999997,-0.04573285714285714,0.08509460795919714,0.1647132,0.06178151833122629,0.18711788416697753,0.38765139999999965
